序号,经度,纬度,到最近现有站km,热点同址<1km
1,113.235,23.315,2.548,False
2,113.67500000000001,22.635,1.446,False
3,113.135,23.305,4.15,False
4,113.435,23.255,1.445,False
5,113.165,23.315,3.204,False
6,113.385,23.275,3.21,False
7,113.20500000000001,23.315,2.428,False
8,113.11500000000001,23.305,2.301,False
9,113.42500000000001,23.255,1.216,False
10,113.64500000000001,22.665,3.135,False
11,113.25500000000001,23.595,2.314,False
12,113.655,23.145,1.63,False
13,113.69500000000001,23.375,3.794,False
14,113.665,23.365,3.663,False
15,113.64500000000001,23.175,0.651,True
16,113.69500000000001,23.325,4.281,False
17,113.595,23.315,0.19,True
18,113.605,23.285,0.261,True
19,113.625,22.635,2.485,False
20,113.58500000000001,23.165,1.075,False
21,113.435,23.245,1.983,False
22,113.61500000000001,23.145,0.176,True
23,113.985,23.855,4.775,False
24,113.655,23.175,0.202,True
25,114.015,23.855,4.696,False
26,113.625,23.175,0.326,True
27,113.525,23.185,0.669,True
28,113.555,23.205,0.356,True
29,113.56500000000001,23.185,0.115,True
30,113.215,23.315,2.579,False
31,113.44500000000001,23.475,3.857,False
32,113.595,23.165,0.753,True
33,113.405,23.715,3.241,False
34,113.72500000000001,23.305,3.117,False
35,113.665,23.175,1.06,False
36,113.69500000000001,23.185,1.815,False
37,113.625,23.165,0.281,True
38,113.465,23.575,2.53,False
39,113.94500000000001,23.845,3.313,False
40,113.75500000000001,23.395,3.85,False
41,113.70500000000001,23.375,3.079,False
42,113.64500000000001,22.655,2.528,False
43,113.465,23.585,2.257,False
44,113.72500000000001,23.205,0.316,True
45,113.055,23.445,2.725,False
46,112.97500000000001,23.435,8.252,False
47,112.995,23.445,7.778,False
48,113.575,23.285,0.279,True
49,113.44500000000001,23.235,2.528,False
50,113.545,23.395,3.274,False
51,113.465,23.265,0.656,True
52,113.00500000000001,23.445,6.815,False
53,113.61500000000001,23.285,0.1,True
54,113.06500000000001,23.445,2.422,False
55,113.125,23.465,1.882,False
56,113.245,23.315,2.773,False
57,113.47500000000001,23.195,0.454,True
58,113.665,23.335,4.191,False
59,113.555,23.215,0.619,True
60,113.575,23.225,1.767,False
61,113.56500000000001,23.225,1.405,False
62,113.56500000000001,23.215,0.297,True
63,113.515,23.185,0.354,True
64,113.70500000000001,23.315,4.486,False
65,113.405,23.355,2.683,False
66,113.715,23.375,2.579,False
67,113.47500000000001,23.215,1.002,False
68,113.625,23.145,0.155,True
69,113.61500000000001,22.695,2.827,False
70,113.605,23.145,0.735,True
71,113.56500000000001,23.305,2.409,False
72,113.295,23.395,3.349,False
73,113.45500000000001,23.675,4.632,False
74,113.22500000000001,23.315,2.432,False
75,113.635,22.635,3.429,False
76,114.025,23.855,5.093,False
77,113.765,23.395,3.044,False
78,113.625,23.155,0.228,True
79,113.845,23.815,4.664,False
80,113.905,23.485,2.629,False
81,113.275,23.315,1.539,False
82,113.86500000000001,23.425,2.693,False
83,113.64500000000001,23.165,0.782,True
84,113.83500000000001,23.415,4.087,False
85,113.545,23.195,0.729,True
86,113.97500000000001,23.855,5.1,False
87,113.625,22.685,2.286,False
88,113.53500000000001,23.175,2.011,False
89,113.635,22.675,2.654,False
90,113.47500000000001,23.225,0.567,True
91,113.465,23.205,0.224,True
92,113.70500000000001,23.195,0.742,True
93,113.045,23.445,3.327,False
94,113.45500000000001,23.235,2.051,False
95,113.415,23.255,0.539,True
96,113.545,22.885,3.521,False
97,113.545,23.285,1.007,False
98,113.53500000000001,23.285,1.377,False
99,113.465,23.555,4.054,False
100,113.915,23.485,2.996,False
101,113.935,23.495,5.13,False
102,114.00500000000001,23.855,4.498,False
103,113.92500000000001,23.495,4.483,False
104,113.265,23.305,2.749,False
105,113.765,23.255,2.185,False
106,113.965,23.855,4.666,False
107,113.22500000000001,23.325,1.324,False
108,113.735,23.295,1.646,False
109,113.11500000000001,23.485,3.022,False
110,113.81500000000001,23.135,5.317,False
111,113.58500000000001,23.145,0.707,True
112,113.775,23.245,0.678,True
113,113.45500000000001,23.685,4.667,False
114,113.45500000000001,23.655,3.961,False
115,113.465,23.545,5.016,False
116,113.105,23.465,3.922,False
117,113.685,23.325,5.033,False
118,113.555,23.185,0.399,True
119,113.635,23.175,1.23,False
120,113.465,23.525,4.358,False
121,113.715,23.195,0.507,True
122,113.45500000000001,23.505,4.562,False
123,113.555,22.885,3.872,False
124,113.67500000000001,23.175,1.804,False
125,113.685,23.365,4.151,False
126,113.485,23.205,0.257,True
127,113.525,23.175,1.278,False
128,113.095,23.455,4.503,False
