序号,经度,纬度,到最近现有站km,热点同址<1km
1,113.665,22.635,1.266,False
2,113.39500000000001,23.345,2.801,False
3,113.45500000000001,23.505,4.562,False
4,113.64500000000001,22.665,3.135,False
5,113.00500000000001,23.445,6.815,False
6,113.135,23.305,4.15,False
7,113.50500000000001,23.275,2.024,False
8,113.58500000000001,23.165,1.075,False
9,113.715,23.375,2.579,False
10,113.685,23.325,5.033,False
11,113.265,23.305,2.749,False
12,113.385,23.275,3.21,False
13,113.555,22.885,3.872,False
14,113.625,23.175,0.326,True
15,113.435,23.465,2.403,False
16,113.795,23.135,4.55,False
17,113.825,23.815,6.687,False
18,113.595,22.705,4.169,False
19,114.00500000000001,23.855,4.498,False
20,113.105,23.465,3.922,False
21,113.45500000000001,23.685,4.667,False
22,113.53500000000001,23.405,4.038,False
23,113.22500000000001,23.315,2.432,False
24,113.465,23.545,5.016,False
25,113.625,23.325,0.373,True
26,113.67500000000001,22.635,1.446,False
27,113.845,23.425,4.501,False
28,113.92500000000001,23.495,4.483,False
29,113.665,23.365,3.663,False
30,113.295,23.385,2.318,False
31,113.405,23.715,3.241,False
32,113.745,23.395,4.739,False
33,113.305,22.865,2.26,False
34,113.775,23.215,2.814,False
35,113.25500000000001,23.595,2.314,False
36,113.055,23.445,2.725,False
37,113.625,22.635,2.485,False
38,113.53500000000001,23.175,2.011,False
39,113.435,23.245,1.983,False
40,113.44500000000001,23.015,1.94,False
41,113.17500000000001,23.315,2.651,False
42,113.465,23.575,2.53,False
43,113.95500000000001,23.845,3.328,False
44,113.745,23.235,3.133,False
45,112.985,23.445,8.51,False
46,113.265,23.285,2.199,False
47,113.45500000000001,23.235,2.051,False
48,113.25500000000001,23.315,2.364,False
49,113.765,23.255,2.185,False
50,113.625,22.685,2.286,False
51,113.45500000000001,23.655,3.961,False
52,113.36500000000001,23.275,1.523,False
53,113.11500000000001,23.485,3.022,False
54,113.525,22.885,3.676,False
55,113.20500000000001,23.315,2.428,False
56,113.655,23.335,3.382,False
57,113.58500000000001,22.725,2.933,False
58,113.42500000000001,23.255,1.216,False
59,113.825,23.415,3.419,False
60,113.715,23.315,4.335,False
61,113.575,23.305,2.3,False
62,113.08500000000001,23.455,3.948,False
63,113.67500000000001,22.625,2.465,False
64,113.485,23.195,0.945,True
65,113.405,23.265,1.113,False
66,113.405,23.355,2.683,False
67,113.745,23.205,2.175,False
68,113.11500000000001,23.305,2.301,False
69,113.44500000000001,23.475,3.857,False
70,113.78500000000001,23.155,2.259,False
71,113.86500000000001,23.425,2.693,False
72,113.69500000000001,23.195,1.712,False
73,113.69500000000001,23.375,3.794,False
74,113.14500000000001,23.305,4.665,False
