删除序号,station_id,经度,纬度
1,395815801_4401110074,113.264506,23.215095
2,101437000_32981,113.412816,23.131492
3,MA5AU5N17_414,113.388582,22.907844
4,MA5DT8Q54_4401040004,113.307218,23.129856
5,MA4UP2019_7850536017815303394,113.31949,22.918474
6,MA59P1AN5_7858,113.31949,22.918474
7,MA5AMUDH9_102,113.338204,23.172967
8,MA5DT8Q54_4401060007,113.381089,23.136019
9,MA5AU5N17_409,113.206414,23.238548
10,314930470_1028,113.23364,23.188614
11,MA5AK2NB6_13,113.253864,23.230983
12,MA5AK2NB6_12,113.206414,23.238548
13,MA5D0YNG8_226,113.249027,23.256553
14,MA5AK2NB6_5,113.217387,23.111396
15,101437000_7485,113.248843,23.256453
16,MA5CBGM94_7934781357041785179,113.358673,23.359839
17,MA59P1AN5_7889,113.290441,23.059992
18,914401153_11530004,113.348889,23.255195
19,TSU201919_HD001,113.391425,22.923095
20,101437000_24733,113.555417,23.18924
21,101437000_36517,113.556071,23.188868
22,101437000_1470,113.300763,23.218764
23,MA59P1AN5_6525,113.270817,22.978843
24,101437000_25907,113.229329,23.070669
25,101437000_3724,113.285507,23.261139
26,101437000_19579,113.318538,23.271916
27,101437000_32121,113.371002,23.082532
28,MA5APE392_HD001,113.391718,22.923473
29,MA59P1AN5_6551,113.391385,22.923616
30,101437000_32125,113.403646,23.12083
31,MA5AUTPR9_7940,113.403696,23.120802
32,101437000_2458,113.391141,22.923467
33,MA5AK2NB6_14,113.199935,23.117112
34,101437000_5644,113.389352,23.131334
35,101437000_1180,113.302476,23.250086
36,MA59P1AN5_6600,113.38559,23.133337
37,101437000_23945,113.326566,23.098451
38,MA59P1AN5_6575,113.285507,23.261139
39,MA59P1AN5_6569,113.285198,23.224197
40,MA7MRR406_115032,113.284685,23.269466
41,673457030_1,113.562776,22.811625
42,MA5AU5N17_410,113.21151,23.131061
43,101437000_1396,113.328651,23.099167
44,MA59P1AN5_6528,113.329365,23.099343
45,101437000_15177,113.206866,23.399306
46,101437000_6216,113.309912,23.265744
47,101437000_32979,113.625626,23.114701
48,101437000_262,113.234863,23.190863
49,101437000_808,113.290278,23.226286
50,101437000_2852,113.243706,23.166638
51,MA5AK2NB6_29,113.423897,23.02964
52,MA59P1AN5_6615,113.290278,23.226286
53,101437000_6917,113.411044,23.11924
54,101437000_14963,113.284185,23.207176
55,101437000_28903,113.279751,22.994156
56,MA1YDN61Y_MA1YDN61X.336430,113.377717,23.139112
57,101437000_74,113.357536,23.212012
58,101437000_1352,113.270817,22.978843
59,101437000_5270,113.367234,23.080912
60,MA59P1AN5_6625,113.367234,23.080912
61,101437000_1398,113.338728,23.238607
62,MA59P1AN5_6614,113.366264,23.190997
63,MA59P1AN5_6518,113.277203,23.33179
64,MA5ALU2Y2_767,113.400204,23.137491
65,101437000_6656,113.268312,23.210182
66,101437000_6744,113.400425,23.139198
67,MA59P1AN5_17960,113.268312,23.210182
68,MA5DT8Q54_4401830005,113.81261,23.284815
69,101437000_862,113.235062,23.410922
70,101437000_1776,113.346411,22.989273
71,MA5AK2NB6_32,113.384519,23.120094
72,MA59P1AN5_6538,113.346411,22.989273
73,MA59P1AN5_6620,113.235062,23.410922
74,MA1MY0GF9_26232,113.180248,23.38816
75,101437000_7885,113.461435,23.099185
76,MA5DT8Q54_4401110019,113.299096,23.326851
77,101437000_1108,113.384447,22.941678
78,101437000_1076,113.297446,23.319836
79,101437000_3516,113.198154,23.072894
80,MA59P1AN5_6510,113.297446,23.319836
81,MA59P1AN5_6514,113.384447,22.941678
82,101437000_17429,113.291842,23.256666
83,101437000_18595,113.341366,23.172955
84,101437000_26841,113.30398,22.996966
85,MA5APE392_LBHD02,113.271217,22.978579
86,MA59P1AN5_6621,113.25812,23.237741
87,MA59P1AN5_6613,113.395762,23.097156
88,MA59P1AN5_6558,113.241954,23.246152
89,101437000_26529,113.37971,23.102617
90,101437000_29919,113.341104,23.102042
91,101437000_36609,113.433152,22.951412
92,914401153_JT0144,113.280457,23.333367
93,101437000_30295,113.286777,23.227701
94,101437000_2614,113.347048,22.963814
95,101437000_4964,113.238744,23.141602
