序号,经度,纬度,到最近现有站km,热点同址<1km
1,113.555,23.295,4.756,False
2,113.935,23.835,26.001,False
3,113.885,23.445,10.615,False
4,113.08500000000001,23.455,7.804,False
5,113.67500000000001,23.195,3.757,False
6,113.47500000000001,23.265,4.602,False
7,113.64500000000001,23.355,8.024,False
8,113.00500000000001,23.445,14.982,False
9,113.635,23.355,9.044,False
10,113.825,23.815,16.234,False
11,113.61500000000001,23.355,8.209,False
12,113.605,23.285,8.82,False
13,113.905,23.475,13.857,False
14,114.00500000000001,23.855,33.184,False
15,113.75500000000001,23.275,1.542,False
16,113.50500000000001,23.275,2.024,False
17,113.605,23.325,6.957,False
18,113.055,23.445,10.551,False
19,113.685,23.325,5.033,False
20,113.575,23.225,2.684,False
21,113.875,23.815,19.8,False
22,113.635,23.285,6.199,False
23,112.985,23.445,16.86,False
24,113.575,23.285,6.123,False
25,113.885,23.435,9.626,False
26,113.97500000000001,23.855,30.613,False
27,113.665,23.185,2.248,False
28,113.625,23.345,8.987,False
29,113.715,23.315,4.335,False
30,113.595,23.205,1.99,False
31,113.56500000000001,23.305,4.323,False
32,113.53500000000001,23.285,2.877,False
33,113.03500000000001,23.445,12.261,False
34,113.625,23.315,8.363,False
35,113.485,23.275,3.812,False
36,113.89500000000001,23.825,22.078,False
37,114.025,23.855,34.941,False
38,113.64500000000001,23.185,1.646,False
39,113.595,23.315,6.249,False
40,113.655,23.285,4.198,False
41,113.735,23.305,2.698,False
42,113.64500000000001,23.345,8.073,False
43,113.56500000000001,23.225,1.917,False
44,113.95500000000001,23.845,28.306,False
45,112.97500000000001,23.435,17.458,False
46,113.89500000000001,23.455,11.964,False
47,113.06500000000001,23.445,9.744,False
48,113.845,23.815,17.571,False
49,113.575,23.215,1.613,False
50,113.61500000000001,23.335,7.894,False
51,113.655,23.185,1.684,False
52,113.015,23.445,14.059,False
53,113.625,23.355,9.195,False
54,113.00500000000001,23.465,15.865,False
55,113.515,23.275,1.418,False
56,113.61500000000001,23.285,8.22,False
57,113.92500000000001,23.835,25.175,False
58,113.58500000000001,23.305,5.853,False
59,113.495,23.275,2.876,False
60,113.545,23.285,3.529,False
61,113.635,23.345,9.088,False
62,113.905,23.465,13.347,False
63,113.025,23.445,13.151,False
64,112.995,23.445,15.916,False
65,113.56500000000001,23.295,5.222,False
66,113.61500000000001,23.295,8.432,False
67,113.045,23.445,11.392,False
68,113.89500000000001,23.445,11.064,False
69,113.735,23.295,1.646,False
70,113.70500000000001,23.315,4.486,False
71,113.075,23.445,8.981,False
72,113.625,23.325,8.98,False
73,113.625,23.305,7.84,False
74,113.525,23.275,1.418,False
75,113.58500000000001,23.285,7.072,False
76,113.625,23.335,8.915,False
77,113.61500000000001,23.345,7.976,False
78,113.94500000000001,23.845,27.474,False
79,113.985,23.855,31.46,False
80,113.965,23.855,29.776,False
81,113.605,23.315,7.214,False
82,113.64500000000001,23.285,5.194,False
83,113.72500000000001,23.305,3.117,False
84,113.56500000000001,23.215,1.429,False
85,113.625,23.285,7.208,False
86,113.745,23.285,0.514,True
87,114.015,23.855,34.059,False
88,113.575,23.305,5.043,False
