删除序号,station_id,经度,纬度
1,101437000_262,113.234863,23.190863
2,101437000_808,113.290278,23.226286
3,914401153_JT0135,113.24853,23.253856
4,395815801_4401110023,113.26318,23.216046
5,313744932_1252,113.290512,23.224993
6,313744932_1844,113.249339,23.2097
7,395815801_4401110029,113.295308,23.256025
8,313744932_3396,113.263923,23.215917
9,395815801_4401060045,113.343126,23.180736
10,914401153_JT0140,113.28309,23.230152
11,395815801_4401110039,113.279596,23.239885
12,313744932_687,113.263899,23.212936
13,395815801_4401110040,113.269601,23.21688
14,395815801_4401030012,113.222098,23.098867
15,313744932_2591,113.262198,23.21387
16,313744932_1652,113.368431,22.941659
17,914401153_JT0092,113.258944,23.208705
18,313744932_796,113.266041,23.217309
19,313744932_258,113.250529,23.249526
20,313744932_2152,113.235322,23.212256
21,MA5AK2NB6_9,113.268027,23.219887
22,395815801_4401110047,113.299993,23.235285
23,313744932_2711,113.266376,23.217349
24,395815801_4401110011,113.264471,23.215755
25,313744932_794,113.296819,23.229378
26,395815801_4401110027,113.282972,23.240748
27,914401153_JT0010,113.251343,23.24875
28,313744932_2958,113.292777,23.217516
29,313744932_506,113.235314,23.212132
30,313744932_1087,113.249911,23.251988
31,313744932_3222,113.339118,23.18449
32,313744932_2654,113.277963,23.215562
33,313744932_2786,113.297184,23.229011
34,395815801_4401110091,113.440493,23.152037
35,914401153_JT0100,113.321326,23.120687
36,313744932_478,113.281077,23.247335
37,395815801_4401130008,113.360046,22.978108
38,395815801_4401140003,113.22491,23.38733
39,MA0019FW4_GZYY-BYSF-020-0010,113.281281,23.197834
40,914401153_JT0096,113.255643,23.128971
41,313744932_100,113.267351,23.220001
42,313744932_322171,113.360865,22.944968
43,395815801_4401110059,113.268434,23.206579
44,395815801_4401130033,113.404503,23.053473
45,395815801_4401180013,113.590265,23.156629
46,395815801_4401060022,113.36324,23.127203
47,395815801_4401180002,113.791968,23.279825
48,320513112_20-283,113.195611,23.40334
49,320513112_20-281,113.4555,22.885804
50,320513112_20-133,113.540483,22.802761
51,320513112_20-246,113.218875,23.38979
52,320513112_20-268,113.601247,23.184599
53,320513112_20-270,113.601244,23.188047
54,320513112_20-269,113.601363,23.188055
55,313744932_1376,113.349668,23.254231
56,395815801_4401140002,113.227532,23.474182
57,MA0019FW4_GZYY-GZXM-020-0029,113.258137,23.221877
58,914401153_JT0143,113.53777,23.113013
59,MA0019FW4_GZYY-DYSW-020-0005,113.396951,23.116897
60,395815801_4401180003,113.838071,23.298199
61,395815801_4401060010,113.329365,23.143562
62,395815801_4401180005,113.663766,23.130467
63,MA1FP0228_11123,113.342076,23.152198
64,726811355_304,113.309535,23.019505
65,313744932_61,113.319993,23.168469
66,313744932_789,113.298778,23.220959
67,313744932_447,113.328914,22.994719
68,313744932_428,113.29065,23.257128
69,101437000_810,113.246649,23.252884
70,395815801_4401030001,113.227372,23.069645
71,320513112_20-226,113.139157,23.373894
72,320513112_20-243,113.160532,23.466153
73,320513112_20-277,113.21825,23.362885
74,313744932_878,113.328943,22.994211
75,313744932_2571,113.250322,23.163123
76,313744932_97,113.245349,23.174136
77,313744932_2397,113.183184,23.441571
78,313744932_2355,113.227898,23.071733
79,313744932_17,113.340693,23.177589
80,313744932_1013,113.721929,23.203174
81,313744932_320492,113.531627,23.134186
82,313744932_3041,113.584127,23.524832
83,313744932_2422,113.401992,23.158157
84,313744932_2929,113.30191,23.225783
85,313744932_320818,113.529824,23.134032
86,313744932_1869,113.725761,23.700505
87,313744932_1490,113.576397,23.113475
88,313744932_2862,113.446288,23.175044
