删除序号,station_id,经度,纬度
1,314930470_1028,113.23364,23.188614
2,TSU201919_HD001,113.391425,22.923095
3,101437000_262,113.234863,23.190863
4,101437000_808,113.290278,23.226286
5,914401153_JT0144,113.280457,23.333367
6,914401153_JT0135,113.24853,23.253856
7,101437000_810,113.246649,23.252884
8,MA5CJMUD8_LHLS0001,113.357085,23.212262
9,MA4UP1U28_LHLS0001,113.357085,23.212262
10,MA5AU5N17_427,113.384519,23.120094
11,101437000_362,113.299989,23.362415
12,395815801_4401110023,113.26318,23.216046
13,MA4KL69J6_4401120000100070201,113.503558,23.146802
14,101437000_566,113.398081,23.168706
15,314930470_975,113.237603,23.166984
16,101437000_11,113.34983,22.973159
17,313744932_11805,113.360865,22.944968
18,313744932_320968,113.204076,23.240084
19,101437000_58,113.200632,23.406079
20,101437000_117,113.259878,23.171608
21,101437000_838,113.4465,23.174999
22,MA0019FW4_GZYY-GZJC-020-0020,113.258373,23.221596
23,395815801_4401040026,113.262171,23.132453
24,914401153_JT0080,113.30897,23.0195
25,MA51TJTF4_1809,113.293429,22.967757
26,914401153_JT0111,113.338398,23.142057
27,395815801_4401140009,113.29876,23.437898
28,914401153_JT0112,113.254847,23.240473
29,395815801_4401110029,113.295308,23.256025
30,395815801_4401130005,113.379138,22.940066
31,395815801_4401140008,113.29876,23.437898
32,914401153_JT0062,113.245639,23.179526
33,MA0019FW4_GZYY-ETLY-020-0027,113.362586,22.969378
34,313744932_1252,113.290512,23.224993
35,313744932_1844,113.249339,23.2097
36,313744932_1486,113.238217,23.398832
37,313744932_2654,113.277963,23.215562
38,395815801_4401060061,113.320542,23.128436
39,395815801_4401110041,113.228157,23.213149
40,395815801_4401110026,113.297443,23.221575
41,313744932_2200,113.283238,23.207688
42,395815801_4401060034,113.404528,23.173486
43,395815801_4401110034,113.28784,23.344235
44,914401153_JT0041,113.242802,23.267156
45,914401153_JT0099,113.449831,23.15583
46,914401153_JT0139,113.610704,23.125676
47,313744932_3396,113.263923,23.215917
48,395815801_4401110024,113.281037,23.229395
49,101437000_534,113.320361,23.126814
50,726811355_2106,113.549034,23.128392
51,395815801_4401130030,113.35095,22.979899
52,395815801_4401060045,113.343126,23.180736
53,395815801_4401060012,113.312847,23.12353
54,313744932_322171,113.360865,22.944968
55,101437000_253,113.200903,23.405942
56,914401153_JT0140,113.28309,23.230152
57,395815801_4401060016,113.323316,23.121146
58,914401153_JT0081,113.325203,23.120419
59,313744932_13079,113.53886,23.115963
60,914401153_JT0138,113.317736,23.144399
61,395815801_4401140011,113.29876,23.437898
62,313744932_1353,113.244476,23.179259
63,395815801_4401060044,113.343126,23.180736
64,395815801_4401110042,113.228156,23.21315
65,395815801_4401110038,113.279597,23.239884
66,395815801_4401110054,113.253711,23.173053
67,395815801_4401110052,113.254044,23.173102
68,395815801_4401110045,113.257614,23.220053
69,395815801_4401110039,113.279596,23.239885
70,395815801_4401110032,113.282924,23.225493
71,914401153_JT0051,113.317736,23.144322
72,395815801_4401060038,113.366768,23.12869
73,914401153_JT0072,113.537963,23.112575
74,395815801_4401110056,113.254035,23.17301
75,395815801_4401110049,113.254251,23.172943
76,395815801_4401110050,113.254251,23.172943
77,313744932_687,113.263899,23.212936
78,MA4KL69J6_4401180000100070147,113.741677,23.281528
79,MA4KL69J6_4401180000100070079,113.814586,23.285686
80,MA4KL69J6_4401180000100070056,113.592728,23.157186
81,395815801_4401110055,113.254688,23.172685
82,395815801_4401110040,113.269601,23.21688
83,395815801_4401060054,113.310822,23.127153
84,313744932_1706,113.289893,23.34483
85,395815801_4401110021,113.262317,23.197811
86,395815801_4401110067,113.267093,23.203258
87,395815801_4401030012,113.222098,23.098867
88,313744932_2155,113.294799,23.309682
