情景,变化站点数,M,M/M_base,相对改善%,M_access,M_access/base,M_crowd,M_crowd/base,M_reach,M_reach/base,比例节点
S1 只增,0,131969.02,1.0,0.0,63436.234,1.0,15525.643,1.0,53007.143,1.0,
S1 只增,1,122249.525,0.92635,7.365,63005.515,0.99321,15329.725,0.98738,43914.286,0.82846,1%
S1 只增,2,116714.71,0.88441,11.559,62991.924,0.993,15244.214,0.98187,38478.571,0.72591,
S1 只增,3,113820.983,0.86248,13.752,61177.996,0.9644,14964.416,0.96385,37678.571,0.71082,
S1 只增,4,110951.527,0.84074,15.926,61103.301,0.96322,14708.94,0.9474,35139.286,0.66292,
S1 只增,5,108161.085,0.81959,18.041,59589.428,0.93936,14953.8,0.96317,33617.857,0.63421,5%
S1 只增,6,105515.415,0.79955,20.045,59442.501,0.93704,14790.771,0.95267,31282.143,0.59015,
S1 只增,7,103280.641,0.78261,21.739,59255.309,0.93409,14578.903,0.93902,29446.429,0.55552,
S1 只增,8,101090.871,0.76602,23.398,59268.626,0.9343,14443.673,0.93031,27378.571,0.51651,
S1 只增,9,99011.104,0.75026,24.974,58150.492,0.91668,14199.898,0.91461,26660.714,0.50296,10%
S1 只增,10,96949.642,0.73464,26.536,57222.38,0.90205,14216.547,0.91568,25510.714,0.48127,
S1 只增,11,94980.571,0.71972,28.028,57134.31,0.90066,14064.118,0.90586,23782.143,0.44866,
S1 只增,12,93065.678,0.70521,29.479,55493.509,0.87479,13790.027,0.88821,23782.143,0.44866,
S1 只增,13,91195.1,0.69103,30.897,55506.807,0.875,13752.579,0.8858,21935.714,0.41383,
S1 只增,14,89587.812,0.67885,32.115,55360.946,0.8727,13559.009,0.87333,20667.857,0.38991,
S1 只增,15,88021.761,0.66699,33.301,54078.951,0.85249,13274.953,0.85503,20667.857,0.38991,
S1 只增,16,86508.616,0.65552,34.448,54096.902,0.85278,13268.857,0.85464,19142.857,0.36114,
S1 只增,17,85116.539,0.64497,35.503,53803.456,0.84815,13002.369,0.83748,18310.714,0.34544,
S1 只增,18,83814.167,0.6351,36.49,53517.029,0.84364,12722.139,0.81943,17575.0,0.33156,20%
S1 只增,19,82699.524,0.62666,37.334,53489.561,0.8432,12520.678,0.80645,16689.286,0.31485,
S1 只增,20,81776.396,0.61966,38.034,52809.071,0.83247,12278.039,0.79082,16689.286,0.31485,
S1 只增,21,80956.568,0.61345,38.655,52810.826,0.8325,12242.171,0.78851,15903.571,0.30003,
S1 只增,22,80169.729,0.60749,39.251,52264.822,0.8239,12001.335,0.773,15903.571,0.30003,
S1 只增,23,79587.167,0.60307,39.693,51948.636,0.81891,11734.96,0.75584,15903.571,0.30003,
S1 只增,24,79011.155,0.59871,40.129,51659.626,0.81436,11447.958,0.73736,15903.571,0.30003,
S1 只增,25,78476.399,0.59466,40.534,51272.788,0.80826,11300.04,0.72783,15903.571,0.30003,
S1 只增,26,78019.208,0.59119,40.881,51014.179,0.80418,11101.457,0.71504,15903.571,0.30003,
S1 只增,27,77593.163,0.58796,41.204,50828.048,0.80125,10861.544,0.69959,15903.571,0.30003,30%
S1 只增,28,77127.677,0.58444,41.556,50647.392,0.7984,10576.714,0.68124,15903.571,0.30003,
S1 只增,29,76719.084,0.58134,41.866,50422.997,0.79486,10392.515,0.66938,15903.571,0.30003,
S1 只增,30,76295.531,0.57813,42.187,50286.752,0.79271,10105.207,0.65087,15903.571,0.30003,
S1 只增,31,75909.254,0.57521,42.479,50188.026,0.79116,9817.656,0.63235,15903.571,0.30003,
S1 只增,32,75526.155,0.5723,42.77,50064.61,0.78921,9557.973,0.61562,15903.571,0.30003,
S1 只增,33,75170.173,0.5696,43.04,49888.519,0.78644,9378.083,0.60404,15903.571,0.30003,
S1 只增,34,74817.381,0.56693,43.307,49805.352,0.78512,9108.457,0.58667,15903.571,0.30003,
S1 只增,35,74482.216,0.56439,43.561,49738.476,0.78407,8840.168,0.56939,15903.571,0.30003,
S1 只增,36,74154.444,0.56191,43.809,49598.886,0.78187,8651.986,0.55727,15903.571,0.30003,40%
S1 只增,37,73831.898,0.55946,44.054,49536.306,0.78088,8392.021,0.54053,15903.571,0.30003,
S1 只增,38,73508.332,0.55701,44.299,49476.397,0.77994,8128.364,0.52354,15903.571,0.30003,
S1 只增,39,73191.061,0.55461,44.539,49443.451,0.77942,7844.038,0.50523,15903.571,0.30003,
S1 只增,40,72854.27,0.55206,44.794,49363.899,0.77817,7586.8,0.48866,15903.571,0.30003,
S1 只增,41,72545.348,0.54971,45.029,49334.712,0.77771,7307.065,0.47064,15903.571,0.30003,
S1 只增,42,72244.371,0.54743,45.257,49312.07,0.77735,7028.73,0.45272,15903.571,0.30003,
S1 只增,43,71943.843,0.54516,45.484,49276.86,0.77679,6763.412,0.43563,15903.571,0.30003,
S1 只增,44,71644.747,0.54289,45.711,48981.125,0.77213,6760.05,0.43541,15903.571,0.30003,50%
