删除序号,station_id,经度,纬度
1,395815801_4401030007,113.210425,23.054544
2,395815801_4401030004,113.228877,23.078679
3,395815801_4401030003,113.223708,23.092143
4,395815801_4401110018,113.219515,23.203466
5,MA0019FW4_GZYY-MTHG-020-0017,113.238103,23.200451
6,395815801_4401110011,113.264471,23.215755
7,MA0019FW4_GZYY-SSCC-020-0023,113.407171,23.051774
8,395815801_4401060020,113.377722,23.217708
9,395815801_4401110047,113.299993,23.235285
10,395815801_4401170004,113.633464,23.699025
11,395815801_4401110019,113.193278,23.232364
12,MA0019FW4_GZYY-JHDS-020-0012,113.277149,23.241689
13,395815801_4401110065,113.258629,23.202631
14,395815801_4401030006,113.240658,23.093034
15,395815801_4401030015,113.222055,23.098763
16,MA0019FW4_GZYY-HRDS-020-0008,113.285711,23.127114
17,395815801_4401050009,113.298798,23.074585
18,395815801_4401060005,113.385622,23.140715
19,395815801_4401110021,113.262317,23.197811
20,395815801_4401110057,113.255022,23.169116
21,MA0019FW4_GZYY-GZYD-020-0018,113.252024,23.052795
22,395815801_4401170008,113.671302,23.69241
23,395815801_4401110016,113.301658,23.23606
24,395815801_4401060014,113.385266,23.140667
25,395815801_4401170005,113.706063,23.694016
26,395815801_4401110022,113.327391,23.178505
27,395815801_4401050012,113.337332,23.101058
28,395815801_4401110058,113.309895,23.251619
29,395815801_4401060006,113.310375,23.139005
30,395815801_4401030012,113.222098,23.098867
31,395815801_4401110036,113.241649,23.210272
32,395815801_4401030014,113.242123,23.12512
33,395815801_4401130027,113.313315,22.970698
34,395815801_4401110042,113.228156,23.21315
35,395815801_4401050007,113.252163,23.097244
36,395815801_4401110067,113.267093,23.203258
37,395815801_4401130037,113.363508,22.948548
38,395815801_4401110044,113.257614,23.220053
39,395815801_4401060035,113.404528,23.173487
40,395815801_4401040025,113.307552,23.120567
41,395815801_4401130004,113.360333,22.977562
42,395815801_4401110038,113.279597,23.239884
43,395815801_4401130001,113.333786,22.940951
44,395815801_4401060008,113.357662,23.210777
45,395815801_4401110024,113.281037,23.229395
46,395815801_4401130026,113.309346,22.985795
47,395815801_4401130034,113.400163,23.042688
48,395815801_4401040020,113.248225,23.149095
49,395815801_4401060016,113.323316,23.121146
50,395815801_4401170002,113.638018,23.638606
51,395815801_4401110041,113.228157,23.213149
52,MA0019FW4_GZYY-YGJD-020-0002,113.359822,23.125141
53,395815801_4401050008,113.272996,23.08016
54,395815801_4401060012,113.312847,23.12353
55,395815801_4401060050,113.401457,23.153078
56,395815801_4401130039,113.44935,22.946865
57,395815801_4401170007,113.68694,23.702188
58,395815801_4401110029,113.295308,23.256025
59,395815801_4401140011,113.29876,23.437898
60,395815801_4401060044,113.343126,23.180736
61,395815801_4401120001,113.456368,23.103496
62,395815801_4401140001,113.135637,23.354774
63,395815801_4401130011,113.390711,22.986013
64,395815801_4401180001,113.840001,23.290933
65,395815801_4401150001,113.54013,22.766681
66,395815801_4401110034,113.28784,23.344235
67,395815801_4401160007,113.519998,23.263103
68,395815801_4401130018,113.299154,23.045119
69,395815801_4401060045,113.343126,23.180736
70,395815801_4401030008,113.241966,23.124251
71,MA0019FW4_GZYY-HTJD-020-0015,113.402607,23.386732
72,395815801_4401060007,113.421572,23.122971
73,395815801_4401110033,113.317336,23.214615
74,MA0019FW4_GZYY-RHGJ-020-0007,113.44575,22.843135
75,395815801_4401170009,113.632888,23.631165
76,395815801_4401060021,113.411201,23.17731
77,395815801_4401110030,113.295308,23.256025
78,395815801_4401130030,113.35095,22.979899
79,MA0019FW4_GZYY-JLJD-020-0013,113.539348,23.100747
80,395815801_4401040026,113.262171,23.132453
