真实新增经度,真实新增纬度,到最近推荐点km
113.388582,22.907844,6.092
113.302476,23.250086,4.618
113.307218,23.129856,15.572
113.31949,22.918474,5.908
113.381089,23.136019,12.754
113.249027,23.256553,2.048
113.248843,23.256453,2.069
113.290441,23.059992,7.748
113.354122,23.091426,14.462
113.270817,22.978843,2.639
113.501927,23.086341,4.834
113.391385,22.923616,7.48
113.615467,23.534551,9.549
113.627163,23.154484,3.902
113.403696,23.120802,12.108
113.389352,23.131334,12.487
113.38559,23.133337,12.609
113.285507,23.261139,2.52
113.285198,23.224197,5.58
113.474847,23.190917,1.935
113.562776,22.811625,4.738
113.329365,23.099343,13.55
113.362901,23.08241,14.43
113.281839,23.075632,9.029
113.309912,23.265744,4.838
113.294836,23.305834,5.161
113.290278,23.226286,5.61
113.205595,23.266667,4.855
113.34474,23.084626,13.252
113.411044,23.11924,11.666
113.23538,23.18485,9.868
113.354685,23.113542,16.352
113.367234,23.080912,14.665
113.363067,23.304578,5.663
113.367234,23.080912,14.665
113.366264,23.190997,8.907
113.277203,23.33179,7.032
113.339115,23.239299,7.507
113.400204,23.137491,11.222
113.268312,23.210182,6.67
113.400425,23.139198,11.069
113.81261,23.284815,5.65
113.346411,22.989273,9.335
113.235062,23.410922,8.12
113.180248,23.38816,7.249
113.297446,23.319836,6.581
113.384447,22.941678,9.603
113.325761,23.286652,6.696
113.433122,22.951437,7.086
113.407394,23.138559,10.613
113.25812,23.237741,3.613
113.804842,23.272237,4.28
113.395762,23.097156,14.508
113.241954,23.246152,3.395
113.355904,23.285908,5.229
113.394386,23.118838,12.982
113.187043,23.415957,6.929
113.297147,23.324613,7.019
113.238744,23.141602,14.482
113.333735,23.171925,12.819
113.333562,23.171847,12.838
113.220275,23.062022,7.982
113.360918,22.999265,10.769
113.39359,22.994804,13.357
113.363663,22.969007,11.514
113.365171,23.17147,10.537
113.459375,22.886894,1.3
113.243358,23.082004,9.418
113.543839,23.113929,2.77
113.448929,23.117757,9.395
113.832365,23.295353,6.844
113.351864,22.927544,8.219
113.306597,23.130158,15.582
113.227074,23.19349,9.252
113.247368,23.209804,6.871
113.345896,23.137088,14.76
113.357356,23.289666,5.245
113.159643,23.45157,3.1
113.272669,23.259507,1.539
113.186044,23.42677,5.723
113.488453,23.112941,6.726
113.356434,23.212103,8.042
113.259636,23.085882,9.772
113.237003,23.167491,11.694
113.359031,23.143751,13.381
113.334101,23.082819,12.375
113.331347,23.012964,7.916
113.254214,23.080088,9.121
113.309193,22.985466,5.651
113.247314,23.209642,6.89
113.398441,22.944407,9.038
113.612079,22.752126,5.355
113.143454,23.464774,1.385
113.270273,23.254558,1.875
113.257507,23.226954,4.811
113.407083,23.191008,6.388
113.322119,23.177696,11.917
113.334111,22.97027,8.6
113.285127,23.069077,8.449
113.632082,23.16258,2.977
113.244532,23.165751,11.736
113.234533,23.074604,8.781
113.421789,22.978201,10.233
113.37044,23.135821,13.544
113.423793,23.135949,9.452
113.371242,23.146295,12.482
113.257641,23.075556,8.618
113.817511,23.303424,7.233
113.2364,23.212804,6.902
113.398081,23.168706,9.03
113.802248,23.301009,5.696
113.522798,22.803533,1.892
113.365824,23.081261,14.578
113.334513,23.185694,11.735
113.296168,23.308803,5.504
113.38304,23.135604,12.633
113.237003,23.167491,11.694
113.365201,23.080833,14.498
113.386329,23.133538,12.539
113.386329,23.133538,12.539
113.537507,23.103501,1.956
113.470178,22.963901,7.319
113.312648,23.075362,10.383
113.254271,23.429644,5.338
113.330108,23.171291,12.95
113.589865,22.772325,6.703
113.60504,23.119412,6.622
113.505625,22.838,2.296
113.337388,22.941348,8.886
113.333319,23.230329,8.447
113.213189,23.388485,8.904
113.155506,23.37595,4.555
113.255581,23.463928,2.467
113.321115,23.124601,15.579
113.305941,22.969257,6.059
113.649387,23.170761,0.998
113.39177,23.002046,13.933
113.843561,23.275481,4.36
113.366526,22.917931,8.384
113.37785,23.168562,10.018
113.265329,23.357823,8.746
113.319263,23.135004,16.078
113.40671,22.960073,9.529
113.349562,23.182828,10.798
113.515777,23.07439,3.796
113.53785,23.115701,3.133
113.405056,23.053814,15.257
113.308219,23.020187,5.91
113.397291,23.170791,8.849
113.220565,23.197287,9.159
113.37847,22.799633,2.496
113.31796,23.151222,14.356
113.377852,23.168633,10.011
113.278645,23.26633,1.67
113.786894,23.175237,0.669
113.327479,23.023196,7.858
113.235676,23.202859,7.958
113.580116,23.438729,4.32
113.42741,23.384119,1.254
113.424942,22.953931,7.795
113.221698,23.354214,5.528
113.271878,23.190625,8.87
113.424942,22.953931,7.795
113.194492,23.394815,8.839
113.571249,23.126415,4.692
113.221269,23.256334,4.503
113.35736,23.169761,11.209
113.464353,23.097695,8.713
113.313888,23.362775,10.737
113.349463,23.182725,10.814
113.398249,22.944482,9.059
113.522302,23.120346,4.39
113.303244,23.350748,9.889
113.343742,23.124424,16.037
113.200608,23.160705,13.709
113.307819,22.989602,5.416
113.258373,23.221596,5.396
113.634228,23.125212,5.302
113.438933,23.160486,6.582
113.359862,23.138832,13.793
113.221667,23.170636,11.815
113.227393,23.417962,7.955
113.294999,23.016501,4.513
113.346133,23.125081,15.84
113.419496,22.962572,8.899
113.429174,23.099358,12.19
113.328126,23.302204,7.577
113.426222,23.103225,12.002
113.854137,23.709513,11.247
113.229507,23.434333,6.322
113.40851,23.109398,12.623
113.368442,22.965532,12.094
113.427378,23.383996,1.255
113.535492,22.80297,2.149
113.361532,23.03174,11.459
113.210949,23.09133,11.336
113.219304,23.108365,12.817
113.304453,23.039964,6.825
113.284011,22.996092,2.905
113.452567,23.150039,6.245
113.288446,23.362785,10.65
113.29475,23.305903,5.162
113.294816,23.305883,5.164
113.597677,23.126343,6.443
113.328711,22.94495,8.993
113.433865,23.109604,10.975
113.577105,23.193516,7.574
113.228743,23.096108,11.245
113.41581,22.969086,9.707
113.457371,23.148072,6.097
113.813571,23.286848,5.858
113.269271,22.958153,4.651
113.523066,22.837941,3.967
113.223813,23.345013,4.753
113.511782,22.830679,2.911
113.550131,22.711202,1.883
113.320456,23.151077,14.473
113.348458,22.963053,10.262
113.288997,23.069231,8.614
113.344263,23.289701,6.491
113.56689,23.124345,4.284
113.408446,23.109191,12.644
113.852499,23.280416,4.622
113.560527,23.113162,2.882
113.292258,22.965523,5.206
113.649457,23.648773,1.574
113.337829,23.298619,7.472
113.518483,22.807258,2.014
113.235431,23.133788,15.233
113.589293,23.140016,6.964
113.242731,23.390208,9.826
113.331613,23.091361,12.958
113.338116,23.166811,12.844
113.029888,23.380502,3.584
113.561147,23.106768,2.285
113.410031,23.011322,14.052
113.212727,23.229179,6.834
113.428569,23.190506,5.325
113.324049,22.943035,8.675
113.428659,23.179969,5.906
113.4303,23.142587,8.467
113.289064,23.007952,3.586
113.361872,22.968331,11.36
113.359382,22.919302,7.988
113.362596,23.099668,15.723
113.837514,23.259086,3.205
113.421144,23.623858,0.156
113.702821,23.690747,4.355
113.221688,23.523085,3.31
113.083454,23.338561,3.083
113.048356,23.322298,0.661
113.427415,23.384055,1.256
113.427383,23.384119,1.251
113.540011,22.796771,1.884
113.249722,23.22113,5.59
113.31167,23.290212,5.479
113.235038,23.133549,15.212
113.263913,23.197555,8.051
113.304946,23.085217,10.921
113.211637,23.436548,5.605
113.139128,23.373994,2.878
113.515154,23.118574,4.742
113.306367,23.424949,4.583
113.5235,23.115324,3.885
113.20001,23.118728,14.576
113.221113,23.170788,11.82
113.407404,23.164871,8.65
113.408351,23.165024,8.562
113.404906,22.894901,4.002
113.410633,22.951471,8.567
113.391751,22.923674,7.47
113.599389,22.648759,0.347
113.455042,23.038004,11.193
113.315952,23.123655,15.263
113.260042,23.086436,9.835
113.655188,23.22589,4.675
113.368358,23.128668,14.276
113.79212,23.409087,0.525
113.3029,23.558122,0.114
113.35378,23.284014,5.372
113.354075,23.293436,5.726
113.648992,23.645568,1.822
113.176861,23.468693,1.09
113.45055,23.162181,5.491
113.320361,23.126814,15.769
113.626635,23.362168,0.992
113.432945,23.120402,10.059
113.427394,23.384055,1.254
113.319378,22.918149,5.87
113.2756,23.190447,8.937
113.367109,23.103095,16.259
113.266375,23.189871,8.912
113.319722,22.918062,5.869
113.335149,23.11829,15.644
113.308346,23.088497,11.406
113.947356,23.812526,2.862
113.285263,23.224137,5.588
113.532887,23.10637,2.503
113.361321,22.995821,10.813
113.330771,23.301442,7.778
113.271206,22.991427,1.75
113.491302,23.177203,1.61
113.273769,23.085093,9.851
113.262173,23.081702,9.322
113.459739,23.044963,10.393
113.811261,23.287205,5.689
113.604751,23.287332,0.231
113.638407,23.608428,5.854
113.646782,23.651651,1.691
113.729932,23.707936,2.528
113.579157,23.62285,9.275
113.485344,22.965312,7.62
113.470896,22.878261,0.839
113.729943,23.707926,2.53
113.532833,23.493037,6.671
113.39533,22.883201,3.575
113.602324,22.64862,0.504
113.52318,23.056242,4.547
113.333194,23.128757,16.285
113.492912,23.463828,2.249
113.376448,23.082469,15.514
113.427362,23.383991,1.253
113.25986,23.365065,8.851
113.367454,22.976833,11.68
113.539348,23.100747,1.599
113.317373,23.144803,14.993
113.620422,23.134401,5.974
113.470692,23.183787,2.51
113.356815,23.129528,14.837
113.390623,23.140713,11.676
113.555884,23.127872,4.325
113.485745,23.213459,1.059
113.5464,22.712069,1.796
113.52498,22.730328,1.044
113.37697,22.998033,12.412
113.369872,22.917003,8.077
113.348623,22.912824,6.717
113.253413,23.197434,8.12
113.333619,23.136321,15.605
113.36593,23.132429,14.094
113.273773,23.557428,1.809
113.604414,23.532014,10.504
113.061915,23.315518,1.129
113.763284,23.558904,8.942
113.364018,23.195306,8.779
113.345831,23.248986,6.432
113.620169,23.163823,4.025
113.463262,23.166739,4.16
113.324265,22.874899,2.061
113.858719,23.188006,1.649
113.519802,23.573348,5.724
113.311749,23.117398,14.454
113.217541,23.3902,9.18
113.556946,23.198004,5.559
113.277149,23.241689,3.469
113.615938,23.284739,1.068
113.38737,23.126654,13.0
113.34306,23.172083,12.077
113.414339,23.118238,11.503
113.263696,23.205144,7.207
113.253814,23.101874,11.544
113.296064,23.134816,15.407
113.253948,23.10187,11.543
113.365447,22.91812,8.333
113.553509,22.768078,3.425
113.298425,23.328613,7.47
113.619934,23.144737,5.168
113.605638,23.152415,5.894
113.264726,23.12557,14.207
113.491745,23.383848,3.129
113.598991,23.129894,6.802
113.399451,23.124586,12.18
114.001206,23.895304,3.868
113.274771,23.584771,0.074
113.867687,23.333052,9.859
113.268527,23.437861,3.966
113.651129,23.644677,1.734
113.332564,23.487531,0.217
113.32563,23.041779,8.65
113.344683,23.450259,0.947
113.453364,23.430137,0.631
113.788749,23.293293,4.088
113.556155,22.633976,4.542
113.471063,22.83901,1.604
113.391349,22.923668,7.487
113.447047,23.116606,9.601
113.402607,23.386732,1.331
113.554946,23.197299,5.346
113.311025,23.130087,15.732
113.33486,23.143458,14.921
113.725352,23.705205,2.813
113.443431,23.045295,11.871
113.714194,23.165469,1.62
113.738497,23.72708,1.261
113.389957,22.985587,12.785
113.359589,22.860262,4.914
113.94953,23.815491,2.724
113.349237,23.453391,0.471
113.477787,23.43631,0.906
113.76607,23.571807,10.197
113.21906,23.076983,9.542
113.344469,22.993449,9.1
113.351526,23.099909,14.978
113.416099,23.182935,6.84
113.617459,23.137523,5.912
113.736798,23.278684,0.915
113.270044,22.9896,1.744
113.471356,22.944579,5.17
113.31671,23.144533,14.996
113.446845,23.171942,5.224
113.385525,23.118909,13.698
113.227848,23.074357,8.949
113.244149,23.135843,15.033
113.354658,22.95978,10.988
113.250713,23.119066,13.463
113.336978,23.129807,15.955
113.262389,23.126692,14.318
113.330412,23.136065,15.839
113.32373,23.145887,15.137
113.550811,22.802124,3.123
113.611277,23.546943,10.532
113.228888,23.07153,8.617
113.333823,23.000329,7.999
113.30201,23.008222,4.871
113.819384,23.276657,5.84
113.491785,23.384624,3.054
113.422192,23.624846,0.149
113.306744,22.974356,5.852
113.489952,22.908283,2.253
113.302077,22.980419,5.136
113.528037,23.51087,6.779
113.423357,23.618759,0.765
113.42162,23.620246,0.56
113.510328,22.964286,8.394
113.48565,23.449593,2.343
113.28915,23.54752,0.15
113.456523,23.433127,0.175
113.808495,23.28837,5.546
113.648633,23.64333,2.018
113.486393,23.44562,1.9
113.803251,23.44123,3.282
113.80369,23.443436,3.529
113.451218,22.854793,1.143
113.615891,23.148265,5.238
113.661564,23.123725,3.604
113.848357,23.187574,2.162
113.471168,23.182982,2.497
113.348606,23.055918,11.478
113.367377,22.946753,10.88
113.529118,23.513236,6.754
113.452039,22.852476,1.095
113.501148,23.153722,4.193
113.235854,23.166429,11.835
113.272315,22.960169,4.545
113.592525,23.538376,11.883
113.732848,23.722615,1.077
113.425911,23.620764,0.72
113.39707,23.686776,0.739
113.949387,23.813802,2.862
113.214762,23.406903,8.648
113.826855,23.379016,3.926
113.943604,23.810992,2.835
113.433924,23.157771,7.176
113.574125,23.113102,3.67
113.371539,23.144441,12.647
113.401083,23.056019,15.589
113.215013,23.406456,8.704
113.400955,23.056268,15.595
113.271947,23.16177,12.066
113.311343,23.117624,14.46
113.266504,23.161455,12.07
113.518716,23.122812,4.834
113.464584,23.097902,8.691
113.345279,22.8612,4.053
113.223289,23.080403,9.737
113.384789,22.941544,9.575
113.338822,22.856428,3.537
113.487886,23.442938,1.609
113.772045,23.567114,10.219
113.711622,23.166629,1.383
113.442541,23.600626,0.306
113.303371,23.131512,15.618
113.502629,23.633312,4.909
113.422475,23.622941,0.306
113.46464,22.878228,1.296
113.480388,22.735041,1.232
113.387168,23.126553,13.022
113.306746,22.968814,6.155
113.626043,23.496067,7.758
113.396951,23.116897,12.915
113.262735,23.126654,14.315
113.208813,23.075484,9.855
113.489487,22.857123,0.564
113.199503,23.116763,14.396
113.258137,23.221877,5.367
113.227204,23.141729,14.714
113.622962,23.177255,3.196
113.56686,23.09535,1.934
113.569955,22.811539,5.335
113.228005,23.074443,8.952
113.227204,23.141729,14.714
113.56686,23.09535,1.934
113.234988,23.207106,7.543
113.325093,23.026908,7.791
113.363087,22.99036,11.024
113.40983,23.193019,6.074
113.360659,23.325367,7.553
113.215891,23.409236,8.46
113.195605,23.429892,5.569
