类型,station_id,经度,纬度
关闭,MA5DT8Q54_4401840051,113.702821,23.690747
关闭,313744932_3413,113.239207,23.19439
关闭,914401153_JT0045,113.217082,23.363041
关闭,914401153_59770002,113.333823,23.000329
关闭,101437000_25947,113.204188,23.116217
关闭,MA5DT8Q54_4401830041,113.670476,23.191929
关闭,101437000_24229,113.204185,23.116217
关闭,313744932_3408,113.548495,23.128645
关闭,MA5DT8Q54_4401150004,113.581861,22.77151
关闭,MA5DT8Q54_4401130023,113.452144,22.990803
关闭,MA5DT8Q54_4401130024,113.453283,22.99118
关闭,MA5DT8Q54_4401830049,113.671192,23.190844
关闭,914401153_JT0145,113.235555,23.141246
关闭,A5250LL0A_20-099,113.53047,23.06765
关闭,A5250LL0A_20-098,113.352968,23.168979
关闭,914401153_JT0100,113.321326,23.120687
关闭,MA0019FW4_GZYY-BYSF-020-0010,113.281281,23.197834
关闭,673457030_3,113.227204,23.141729
关闭,67345703X_3,113.227204,23.141729
关闭,101437000_5428,113.199503,23.116763
关闭,914401153_JT0096,113.255643,23.128971
关闭,673457030_37,113.228005,23.074443
关闭,395815801_4401130033,113.404503,23.053473
关闭,MA5CKUWK5_004798688d964da1b99032a5a0f454c2,113.208813,23.075484
关闭,MA0019FW4_GZYY-GZXM-020-0029,113.258137,23.221877
关闭,349861452_GZYY-GZXM-020-0029,113.258137,23.221877
关闭,914401153_11530003,113.366954,23.102909
关闭,395815801_4401110059,113.268434,23.206579
关闭,313744932_1376,113.349668,23.254231
关闭,395815801_4401130008,113.360046,22.978108
关闭,67345703X_4,113.360659,23.325367
关闭,673457030_4,113.360659,23.325367
关闭,313744932_335,113.177275,23.06893
关闭,A5250LL0A_20-105,113.397658,22.943028
关闭,A5250LL0A_20-053,113.584841,22.760695
关闭,A5250LL0A_20-054,113.585104,22.760572
关闭,395815801_4401030001,113.227372,23.069645
关闭,A5250LL0A_20-155,113.23287,23.502849
关闭,101437000_17407,113.287273,23.138991
关闭,MA5DT8Q54_4401110594,113.388036,23.309919
关闭,313744932_789,113.298778,23.220959
关闭,313744932_2355,113.227898,23.071733
关闭,395815801_4401140003,113.22491,23.38733
关闭,395815801_4401060022,113.36324,23.127203
关闭,673457030_10,113.56686,23.09535
关闭,67345703X_10,113.56686,23.09535
关闭,313744932_506,113.235314,23.212132
关闭,101437000_8431,113.360286,22.92003
关闭,MA1MY0GF9_65491,113.281899,22.913293
关闭,101437000_16535,113.347268,22.989867
关闭,231227827_886,113.215891,23.409236
关闭,67345703X_23,113.262735,23.126654
关闭,101437000_20878,113.227642,23.081511
关闭,MA1MY0GF9_37085,113.223365,23.194264
关闭,313744932_97,113.245349,23.174136
关闭,313744932_447,113.328914,22.994719
关闭,MA1MY0GF9_50066,113.286943,22.90938
关闭,MA5CKUWK5_dca08498818e4ff4afa132af544d55b2,113.195605,23.429892
关闭,726811355_304,113.309535,23.019505
关闭,313744932_61,113.319993,23.168469
关闭,313744932_2929,113.30191,23.225783
关闭,313744932_3222,113.339118,23.18449
关闭,101437000_21946,113.229421,23.198731
关闭,313744932_2571,113.250322,23.163123
关闭,MA5CKUWK5_843bd54165f041e98fdf196611ab05b9,113.40983,23.193019
关闭,313744932_1087,113.249911,23.251988
关闭,395815801_4401110003,113.244431,23.197476
关闭,395815801_4401120012,113.514368,23.06076
关闭,MA1FP0228_11123,113.342076,23.152198
关闭,MA59CU773_132519,113.456623,23.112874
关闭,395815801_4401060010,113.329365,23.143562
关闭,MA5DT8Q54_440113157,113.306746,22.968814
关闭,67345703X_13,113.569955,22.811539
关闭,673457030_13,113.569955,22.811539
关闭,MA0019FW4_GZYY-DXCZ-020-0006,113.401083,23.056019
关闭,349861452_GZYY-DXCZ-020-0006,113.401083,23.056019
关闭,MA0019FW4_GZYY-DYSW-020-0005,113.396951,23.116897
关闭,349861452_GZYY-DYSW-020-0005,113.396951,23.116897
关闭,313744932_899,113.248675,23.165911
关闭,MA526R2T4_101791669710001,113.626043,23.496067
关闭,320513112_20-283,113.195611,23.40334
关闭,313744932_878,113.328943,22.994211
关闭,A5250LL0A_20-214,113.203296,23.392158
关闭,101437000_18539,113.366251,22.961301
关闭,A5250LL0A_20-213,113.211811,23.389046
关闭,MA1MY0GF9_53690,113.395736,22.993594
关闭,320513112_20-246,113.218875,23.38979
关闭,914401153_JT0143,113.53777,23.113013
关闭,313744932_478,113.281077,23.247335
关闭,088669285_CSN19092300022,113.203621,23.401147
关闭,313744932_11633,113.24331,23.126825
关闭,395815801_4401110027,113.282972,23.240748
关闭,MA59CU773_147428,113.222843,23.503057
关闭,67345703X_9,113.271947,23.16177
关闭,673457030_9,113.271947,23.16177
关闭,313744932_1704,113.270362,23.233363
关闭,A5250LL0A_20-503,113.29279,23.105193
关闭,313744932_1384,113.207918,23.238054
关闭,313744932_398,113.367656,23.044376
关闭,088669285_CSN19092300023,113.223854,23.407468
关闭,101437000_24715,113.546761,22.795819
关闭,320513112_20-281,113.4555,22.885804
关闭,MA0019FW4_GZYY-SYNH-020-0003,113.325635,23.021892
关闭,313744932_17,113.340693,23.177589
关闭,MA0019FW4_GZYY-CHCY-020-0004,113.235854,23.166429
关闭,349861452_GZYY-CHCY-020-0004,113.235854,23.166429
关闭,395815801_4401180005,113.663766,23.130467
关闭,101437000_20876,113.377302,23.09905
关闭,MA4KUHJ97_NIO6025b1f81a6f9a46,113.333726,23.139329
关闭,313744932_733,113.31266,23.274265
关闭,313744932_794,113.296819,23.229378
关闭,MA5DT8Q54_4401130705,113.270765,22.963593
关闭,395815801_4401180013,113.590265,23.156629
关闭,914401153_11530024,113.341852,23.102264
关闭,313744932_1749,113.322437,23.169231
关闭,101437000_15267,113.373743,22.782765
关闭,313744932_11745,113.276613,23.211954
关闭,320513112_20-270,113.601244,23.188047
关闭,320513112_20-269,113.601363,23.188055
关闭,313744932_2594,113.354195,23.186855
关闭,320513112_20-277,113.21825,23.362885
关闭,395815801_4401130007,113.34423,22.94232
关闭,MA59J8YL8_5dc7b25c73ff4cfc,113.489487,22.857123
关闭,MA1MY0GF9_53408,113.286781,22.916048
关闭,101437000_3760,113.234988,23.207106
关闭,MA59P1AN5_6578,113.234988,23.207106
关闭,313744932_3783,113.40417,23.049419
关闭,320513112_20-268,113.601247,23.184599
关闭,67345703X_16,113.622962,23.177255
关闭,673457030_16,113.622962,23.177255
关闭,313744932_2786,113.297184,23.229011
关闭,313744932_2422,113.401992,23.158157
关闭,MA59CU773_119677,113.387168,23.126553
关闭,673457030_31,113.387168,23.126553
关闭,313744932_339,113.234993,23.212477
关闭,101437000_19367,113.183565,23.070899
关闭,313744932_1490,113.576397,23.113475
关闭,395815801_4401060029,113.397641,23.115796
关闭,MA1MY0GF9_67637,113.283817,22.915851
关闭,395815801_4401130009,113.356046,22.977898
关闭,313744932_1582,113.355341,22.94173
关闭,726811355_3641,113.421906,22.97808
关闭,A5250LL0A_20-387,113.380368,22.783889
关闭,395815801_4401060030,113.414692,23.1128
关闭,MA0019FW4_GZYY-SSCC-020-0023,113.407171,23.051774
关闭,MA1MY0GF9_71093,113.272824,22.98349
关闭,395815801_4401030007,113.210425,23.054544
关闭,395815801_4401060042,113.369963,23.134554
关闭,395815801_4401060037,113.370289,23.134227
关闭,313744932_905,113.349445,23.254256
关闭,313744932_1452,113.251815,23.159438
关闭,313744932_2711,113.266376,23.217349
