station_id,create_time,station_lg,station_lt,station_fast_cnt,station_slow_cnt,construction,park_num,WGS84_station_lg,WGS84_station_lt,DB09_station_lg,DB09_station_lt,Service_population
MA5AU5N17_408,2019/3/19 13:48,113.373642,22.986713,286,0,255,0,113.368149,22.98929,113.380122,22.992776,708854.5309
MA4UP1U28_GZHS0101,2019/9/19 8:00,113.225583,23.059256,203,0,6,120,113.220249,23.061948,113.232166,23.064934,503138.0062
101437000_33477,2024/6/18 16:39,113.4279,23.180504,187,0,0,0,113.422384,23.182986,113.43441,23.186545,463481.8087
395815801_4401110074,2019/2/14 18:34,113.269841,23.212451,169,0,2,0,113.264506,23.215095,113.276289,23.218745,418868.5865
MA5AK2NB6_61,2021/1/14 8:00,113.394089,22.905252,152,0,255,0,113.388582,22.907844,113.40051,22.911573,376733.8766
MA59P1AN5_6519,2021/5/2 8:00,113.307863,23.247498,144,0,255,0,113.302476,23.250086,113.314336,23.253532,356905.7778
101437000_32981,2024/6/11 16:23,113.418337,23.128996,144,0,0,114,113.412816,23.131492,113.424778,23.135187,356905.7778
MA5AU5N17_414,2019/3/19 13:48,113.394089,22.905252,140,0,255,0,113.388582,22.907844,113.40051,22.911573,346991.7284
101437000_2688,2020/1/20 16:29,113.331148,22.921115,138,0,0,126,113.325737,22.923792,113.337711,22.926811,342034.7037
MA5DT8Q54_4401040004,2021/12/10 8:00,113.312606,23.127232,125,37,1,0,113.307218,23.129856,113.319096,23.133182,340382.3622
101437000_562,2019/8/29 1:01,113.363972,23.10411,136,0,0,0,113.358485,23.106651,113.370489,23.110004,337077.679
MA4UP2019_7850536017815303394,2019/7/19 8:00,113.324888,22.915782,126,0,255,0,113.31949,22.918474,113.331432,22.921542,312292.5556
MA59P1AN5_7858,2021/12/2 8:00,113.324888,22.915782,126,0,255,0,113.31949,22.918474,113.331432,22.921542,312292.5556
304520582_b2c1bbfc323f4f9996de2d8bdaf282d2,2019/1/3 20:31,113.483888,23.110442,120,0,255,0,113.478508,23.113064,113.4904,23.116333,297421.4815
101437000_37737,2024/8/23 5:26,113.316672,23.433674,119,0,0,1,113.311255,23.436206,113.323215,23.439562,294942.9692
MA5AMUDH9_102,2020/5/14 8:00,113.343658,23.170418,118,0,6,0,113.338204,23.172967,113.350236,23.176086,292464.4568
304520582_09faaf84f4664cdfbd25049d3258da0b,2019/1/29 17:26,113.26588,23.069958,112,0,255,0,113.260556,23.07266,113.272348,23.076213,277593.3827
MA5DT8Q54_4401060007,2021/12/10 8:00,113.386606,23.133518,110,0,1,0,113.381089,23.136019,113.393034,23.139774,272636.358
MA5DT8Q54_4401120406,2022/5/28 8:02,113.479322,23.178836,105,0,3,0,113.473922,23.181418,113.485875,23.184659,260243.7963
MA5AK2NB6_3,2018/12/27 16:56,113.263904,23.252821,104,0,255,0,113.258569,23.255454,113.270338,23.259043,257765.284
MA5AU5N17_409,2019/3/19 13:48,113.211777,23.235941,100,0,255,0,113.206414,23.238548,113.218326,23.241629,247851.2346
314930470_1028,2019/6/14 14:42,113.238972,23.185961,100,0,5,0,113.23364,23.188614,113.245529,23.191779,247851.2346
MA5AK2NB6_13,2020/2/20 8:00,113.259196,23.228341,100,0,255,0,113.253864,23.230983,113.265655,23.234497,247851.2346
MA5AK2NB6_12,2020/2/27 8:00,113.211777,23.235941,100,0,255,0,113.206414,23.238548,113.218326,23.241629,247851.2346
MA5D0YNG8_226,2021/2/4 19:21,113.25436,23.253918,98,3,2,0,113.249027,23.256553,113.260825,23.259991,245372.7222
MA5AK2NB6_5,2018/12/27 16:56,113.222727,23.108727,98,0,6,0,113.217387,23.111396,113.229287,23.114389,242894.2099
101437000_7485,2021/12/28 11:39,113.254176,23.253818,98,0,0,0,113.248843,23.256453,113.260642,23.259888,242894.2099
395815801_4401110084,2019/1/18 18:17,113.248197,23.263949,96,0,3,0,113.242863,23.26658,113.254689,23.269914,237937.1852
MA4UP2019_7934781357041785179,2019/6/11 10:04,113.364177,23.357381,96,0,255,0,113.358673,23.359839,113.370683,23.363276,237937.1852
MA5CBGM94_7934781357041785179,2020/5/18 16:35,113.364177,23.357381,96,0,255,0,113.358673,23.359839,113.370683,23.363276,237937.1852
101437000_12355,2022/10/13 19:39,113.35384,23.246771,96,0,0,0,113.348361,23.249275,113.360373,23.252512,237937.1852
MA59P1AN5_7889,2021/12/2 8:01,113.295795,23.057312,94,0,255,0,113.290441,23.059992,113.302264,23.063545,232980.1605
914401153_11530004,2020/9/1 8:00,113.354369,23.252694,92,0,2,0,113.348889,23.255195,113.360901,23.258442,228023.1358
101437000_2612,2020/2/19 11:08,113.295734,23.056147,90,0,0,0,113.29038,23.058827,113.302202,23.062381,223066.1111
MA59P1AN5_6517,2021/5/2 8:00,113.3596,23.088872,90,0,255,0,113.354122,23.091426,113.366147,23.094698,223066.1111
