district_code,district_name,gps_records,vehicles,stations,fast_guns,slow_guns,gps_share,station_share,station_per_10k_gps,share_gap_station_minus_gps
440113,番禺区,2363287,11416,135,1777,541,0.17908249214061248,0.15552995391705068,0.5712382795657066,-0.023552538223561792
440111,白云区,2100439,13665,212,2155,1791,0.15916469337382042,0.24423963133640553,1.0093128150829422,0.08507493796258511
440112,黄埔区,2075673,11851,82,911,395,0.1572880034075343,0.0944700460829493,0.395052592580816,-0.06281795732458499
440118,增城区,1400223,8634,65,487,237,0.10610451646059273,0.0748847926267281,0.46421177198203434,-0.03121972383386462
440114,花都区,1400157,9587,81,692,421,0.10609951518716243,0.09331797235023041,0.5785065531936776,-0.012781542836932017
440106,天河区,1077012,9394,123,936,771,0.08161259848056766,0.14170506912442396,1.1420485565620437,0.0600924706438563
440115,南沙区,904284,6307,22,132,93,0.06852381125224385,0.02534562211981567,0.24328640117485215,-0.043178189132428185
440105,海珠区,694301,6760,44,836,256,0.052611956726254315,0.05069124423963134,0.6337309034554177,-0.001920712486622976
440117,从化区,548740,3637,33,71,258,0.04158179972946142,0.038018433179723504,0.6013777016437657,-0.0035633665497379133
440103,荔湾区,346471,5395,31,389,157,0.02625448797985608,0.03571428571428571,0.8947357787520456,0.00945979773442963
440104,越秀区,286052,5512,40,140,356,0.021676125261894337,0.04608294930875576,1.3983471536643688,0.024406824046861425
