district_code,district_name,gps_records,vehicles,stations,fast_guns,slow_guns,gps_share,station_share,station_per_10k_gps,share_gap_station_minus_gps
440113,番禺区,2363287,11416,592,8562,935,0.17908249214061248,0.1869276918219135,2.5049856407622095,0.007845199681301013
440111,白云区,2100439,13665,607,10498,2219,0.15916469337382042,0.19166403536469845,2.889872069600688,0.03249934199087803
440112,黄埔区,2075673,11851,272,3531,852,0.1572880034075343,0.0858856962425008,1.3104183558778286,-0.0714023071650335
440118,增城区,1400223,8634,246,2652,434,0.10610451646059273,0.07767603410167351,1.756863013962776,-0.02842848235891922
440114,花都区,1400157,9587,324,3539,604,0.10609951518716243,0.10230502052415535,2.3140262127747104,-0.0037944946630070753
440106,天河区,1077012,9394,368,5336,1101,0.08161259848056766,0.1161982949163246,3.416860722071806,0.03458569643575693
440115,南沙区,904284,6307,180,1892,305,0.06852381125224385,0.05683612251341964,1.9905251005215177,-0.011687688738824212
440105,海珠区,694301,6760,196,3548,487,0.052611956726254315,0.06188822229239027,2.8229831153923155,0.009276265566135956
440117,从化区,548740,3637,161,925,464,0.04158179972946142,0.05083675402589201,2.9339942413529174,0.009254954296430591
440103,荔湾区,346471,5395,121,1672,248,0.02625448797985608,0.038206504578465424,3.492355781580565,0.011952016598609342
440104,越秀区,286052,5512,100,650,529,0.021676125261894337,0.031575623618566466,3.4958678841609214,0.009899498356672129
